"UNITID","INSTNM","SPORTSNM","LONGITUD","LATITUDE"
104151,"Arizona State University","Arizona State",-111.940011,33.421922
106458,"Arkansas State University-Main Campus","Arkansas State",-90.680478,35.842779
100858,"Auburn University","Auburn",-85.492409,32.600201
150136,"Ball State University","Ball State",-85.408863,40.198942
223232,"Baylor University","Baylor",-97.119359,31.545956
142115,"Boise State University","Boise State",-116.205789,43.604403
164924,"Boston College","Boston College",-71.171488,42.337688
201441,"Bowling Green State University-Main Campus","Bowling Green State",-83.637531,41.377036
230038,"Brigham Young University-Provo","Brigham Young",-111.649281,40.250851
110556,"California State University-Fresno","Fresno State",-119.748258,36.814477
169248,"Central Michigan University","Central Michigan",-84.776729,43.610947
217882,"Clemson University","Clemson",-82.834463,34.677329
126818,"Colorado State University-Fort Collins","Colorado State",-105.08083,40.574759
198419,"Duke University","Duke",-78.94226,36.00159
198464,"East Carolina University","East Carolina",-77.366199,35.606347
169798,"Eastern Michigan University","Eastern Michigan",-83.627076,42.247936
133669,"Florida Atlantic University","Florida Atlantic",-80.102293,26.372536
133951,"Florida International University","Florida International",-80.377591,25.757111
134097,"Florida State University","Florida State",-84.290883,30.439741
139755,"Georgia Institute of Technology-Main Campus","Georgia Tech",-84.396019,33.773732
139940,"Georgia State University","Georgia State",-84.38667,33.7527
151351,"Indiana University-Bloomington","Indiana",-86.526904,39.166383
153603,"Iowa State University","Iowa State",-93.648353,42.026368
155399,"Kansas State University","Kansas State",-96.581077,39.188616
203517,"Kent State University at Kent","Kent State",-81.342253,41.146856
159391,"Louisiana State University and Agricultural & Mechanical College","Louisiana State",-91.196656,30.552111
159647,"Louisiana Tech University","Louisiana Tech",-92.64964,32.525518
237525,"Marshall University","Marshall",-82.43065,38.42261
204024,"Miami University-Oxford","Miami (OH)",-84.731821,39.509642
171100,"Michigan State University","Michigan State",-84.473639,42.72476
220978,"Middle Tennessee State University","Middle Tennessee",-86.362094,35.849139
176080,"Mississippi State University","Mississippi State",-88.879658,33.425002
188030,"New Mexico State University-Main Campus","New Mexico State",-106.747841,32.282875
199193,"North Carolina State University at Raleigh","North Carolina State",-78.674517,35.785111
147703,"Northern Illinois University","Northern Illinois",-88.766065,41.933791
147767,"Northwestern University","Northwestern",-87.673653,42.058377
204796,"Ohio State University-Main Campus","Ohio State",-83.009001,39.998389
204857,"Ohio University-Main Campus","Ohio",-82.094162,39.334351
207388,"Oklahoma State University-Main Campus","Oklahoma State",-97.069743,36.123085
209542,"Oregon State University","Oregon State",-123.27415,44.564524
214777,"Pennsylvania State University-Main Campus","Penn State",-77.861644,40.800732
243780,"Purdue University-Main Campus","Purdue",-86.914435,40.428206
227757,"Rice University","Rice",-95.403625,29.716485
186380,"Rutgers University-New Brunswick","Rutgers",-74.45051,40.503796
122409,"San Diego State University","San Diego State",-117.071228,32.77525
122755,"San Jose State University","San Jose State",-121.881214,37.335201
