"UNITID","INSTNM","ADDR","CITY","STABBR","ZIP","FIPS","OBEREG","CHFNM","CHFTITLE","GENTELE","EIN","OPEID","OPEFLAG","WEBADDR","ADMINURL","FAIDURL","APPLURL","NPRICURL","SECTOR","ICLEVEL","CONTROL","HLOFFER","UGOFFER","GROFFER","HDEGOFR1","DEGGRANT","HBCU","HOSPITAL","MEDICAL","TRIBAL","LOCALE","OPENPUBL","ACT","NEWID","DEATHYR","CLOSEDAT","CYACTIVE","POSTSEC","PSEFLAG","PSET4FLG","RPTMTH","IALIAS","INSTCAT","CCBASIC","CCIPUG","CCIPGRAD","CCUGPROF","CCENRPRF","CCSIZSET","CARNEGIE","LANDGRNT","INSTSIZE","CBSA","CBSATYPE","CSA","NECTA","F1SYSTYP","F1SYSNAM","FAXTELE","COUNTYCD","COUNTYNM","CNGDSTCD","LONGITUD","LATITUDE"
104151,"Arizona State University","University Drive and Mill Avenue","Tempe","AZ","85287"," 4"," 6","Michael M. Crow","President","4809652100","860196696","00108100",1,"www.asu.edu/","https://students.asu.edu/admission","https://students.asu.edu/financialaid","https://webapp4.asu.edu/ugapp/mainmenulogic","students.asu.edu/costs",1,1,1,9,1,1,11,1,2,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1,"ASU",2,15,11,15,11,4,15,15,2,5,38060,1,-2,-2,1,"Arizona Board of Regents","4809653610",4013,"Maricopa County",409,-111.940011,33.421922
106458,"Arkansas State University-Main Campus","2105 E. Aggie Road","Jonesboro","AR","72401"," 5"," 5","Dr. Tim Hudson","Chancellor","8709722100","716000556","00109000",1,"www2.astate.edu","admissions.astate.edu/","finaid.astate.edu/","www2.astate.edu/a/student-affairs/admissions/apply-now/","www.astate.edu/a/student-affairs/finaid/npc.dot",1,1,1,9,1,1,11,1,2,2,2,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1,"Arkansas State University-Jonesboro",2,18,13,18,9,4,12,21,2,4,27860,1,308,-2,1,"Arkansas State University System","8709723406",5031,"Craighead County",501,-90.680478,35.842779
100858,"Auburn University","Auburn, Alabama","Auburn University","AL","36849"," 1"," 5","Jay Gogue","President","3348444000","636000724","00100900",1,"www.auburn.edu","www.auburn.edu/admissions/","www.auburn.edu/administration/business_office/finaid/","www.auburn.edu/admissions/apply/","www.auburn.edu/admissions/money-matters.html",1,1,1,9,1,1,11,1,2,2,1,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,16,14,14,13,4,15,15,1,5,12220,1,194,-2,1,"Auburn University"," ",1081,"Lee County",103,-85.492409,32.600201
150136,"Ball State University","2000 University Ave","Muncie","IN","47306",18," 3","Dr. Jo Ann M. Gora","President","7652891241","356000221","00178600",1,"www.bsu.edu","www.bsu.edu/web/admissions/","www.bsu.edu/finaid","cms.bsu.edu/AdmissionsLanding/UndergraduateAdmissions/ApplyNow.aspx","cms.bsu.edu/AdmissionsLanding/ScholarshipsandFinancialAid/NetPriceCalculator.aspx",1,1,1,9,1,1,11,1,2,2,2,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1,"BSU|Ball U",2,16,13,15,10,4,16,16,2,5,34620,1,294,-2,2," "," ",18035,"Delaware County",1806,-85.408863,40.198942
223232,"Baylor University","500 Speight Ave.","Waco","TX","76798",48," 6","Kenneth W. Starr","President","2547101011","741159753","00354500",1,"www.baylor.edu","www.baylor.edu/adm","www.baylor.edu/admissions/index.php?id=82201","www.baylor.edu/adm","www.baylor.edu/sfs/index.php?id=85858",2,1,2,9,1,1,11,1,2,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,16,11,15,12,4,16,16,2,4,47380,1,-2,-2,2," "," ",48309,"McLennan County",4817,-97.119359,31.545956
142115,"Boise State University","1910 University Dr","Boise","ID","83725",16," 7","Dr. Bob Kustra","President","2084261011","820290701","00161600",1,"www.boisestate.edu","admissions.boisestate.edu/","financialaid.boisestate.edu/","admissions.boisestate.edu/apply","admissions.boisestate.edu/estimator",1,1,1,9,1,1,12,1,2,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1,"Boise State",2,18,10,18,8,3,15,21,2,5,14260,1,147,-2,1,"Idaho State Board of Education"," ",16001,"Ada County",1602,-116.205789,43.604403
164924,"Boston College","140 Commonwealth Avenue","Chestnut Hill","MA","02467",25," 1","William P. Leahy, S.J.","President","6175528000","042103545","00212800",1,"www.bc.edu"," "," "," ","npc.collegeboard.org/student/app/bc",2,1,2,9,1,1,11,1,2,2,2,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,16,8,15,12,5,17,15,2,4,14460,1,148,71650,2," "," ",25017,"Middlesex County",2504,-71.171488,42.337688
201441,"Bowling Green State University-Main Campus","220 McFall Ctr","Bowling Green","OH","43403",39," 3","Mary Ellen Mazey","President","4193722531","346402018","00301800",1,"www.bgsu.edu","choose.bgsu.edu/","www.bgsu.edu/offices/sfa/","choose.bgsu.edu/apply/online/","sfa.bgsu.edu/net_price_calculator/main/",1,1,1,9,1,1,12,1,2,2,2,2,31,1,"A ",-2,-2,"-2",1,1,1,1,1,"BGSU",2,16,13,15,10,4,16,16,2,4,45780,1,534,-2,2," ","4193726955",39173,"Wood County",3905,-83.637531,41.377036
230038,"Brigham Young University-Provo","Main Campus","Provo","UT","84602",49," 7","Cecil O. Samuelson","President","8014224636","-1","00367000",1,"www.byu.edu","saas.byu.edu/tools/b4byu/sites/b4/","saas.byu.edu/financialAid/","www.besmart.com/admissions/apply.honorcode.php","saas.byu.edu/financialAid/netpricecalculator/BYU_NetPriceCalculator.htm",2,1,2,9,1,1,11,1,2,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1,"BYU",2,16,11,18,12,3,15,15,2,5,39340,1,482,-2,2," "," ",49049,"Utah County",4903,-111.649281,40.250851
110556,"California State University-Fresno","5241 N Maple Ave","Fresno","CA","93740"," 6"," 8","John D Welty","President","5592784240","946001347","00114700",1,"www.csufresno.edu"," "," "," ","www.collegeportraits.org/CA/CSUFRESNO/costs",1,1,1,9,1,1,12,1,2,2,2,2,11,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,18,11,12,9,4,15,21,2,5,23420,1,260,-2,1,"California State University"," ",6019,"Fresno County",622,-119.748258,36.814477
