"Year","Wk","Date","Rk","School","Prev","Chng","Conf"
1998,1,"Preseason",1,"Arizona* R","NA","—","Pac-10"
1998,1,"Preseason",2,"Kansas* RT","NA","—","Big 12"
1998,1,"Preseason",3,"Duke* R","NA","—","ACC"
1998,1,"Preseason",4,"North Carolina* TF","NA","—","ACC"
1998,1,"Preseason",5,"Clemson*","NA","—","ACC"
1998,1,"Preseason",6,"UCLA*","NA","—","Pac-10"
1998,1,"Preseason",7,"South Carolina*","NA","—","SEC"
1998,1,"Preseason",8,"Kentucky* RTFN","NA","—","SEC"
1998,1,"Preseason",9,"Purdue*","NA","—","Big Ten"
1998,1,"Preseason",10,"Xavier* RT","NA","—","A-10"
1998,1,"Preseason",11,"New Mexico*","NA","—","WAC"
1998,1,"Preseason",12,"Connecticut* RT","NA","—","Big East"
1998,1,"Preseason",13,"Fresno State","NA","—","WAC"
1998,1,"Preseason",14,"Stanford* F","NA","—","Pac-10"
1998,1,"Preseason",15,"Iowa","NA","—","Big Ten"
1998,1,"Preseason",16,"Utah* RF","NA","—","WAC"
1998,1,"Preseason",17,"Indiana*","NA","—","Big Ten"
1998,1,"Preseason",18,"Charlotte*","NA","—","CUSA"
1998,1,"Preseason",19,"Georgia","NA","—","SEC"
1998,1,"Preseason",20,"Oklahoma*","NA","—","Big 12"
1998,1,"Preseason",21,"Rhode Island*","NA","—","A-10"
1998,1,"Preseason",22,"Texas","NA","—","Big 12"
1998,1,"Preseason",23,"Mississippi* R","NA","—","SEC"
1998,1,"Preseason",24,"Temple* R","NA","—","A-10"
1998,1,"Preseason",25,"Louisville","NA","—","CUSA"
1998,2,"11/18/1997",1,"Arizona* R",1,"NC","Pac-10"
1998,2,"11/18/1997",2,"Kansas* RT",2,"NC","Big 12"
1998,2,"11/18/1997",3,"Duke* R",3,"NC","ACC"
1998,2,"11/18/1997",4,"North Carolina* TF",4,"NC","ACC"
1998,2,"11/18/1997",5,"Clemson*",5,"NC","ACC"
1998,2,"11/18/1997",6,"South Carolina*",7,1,"SEC"
1998,2,"11/18/1997",7,"UCLA*",6,1,"Pac-10"
1998,2,"11/18/1997",8,"Purdue*",9,1,"Big Ten"
1998,2,"11/18/1997",9,"Kentucky* RTFN",8,1,"SEC"
1998,2,"11/18/1997",10,"Xavier* RT",10,"NC","A-10"
1998,2,"11/18/1997",11,"New Mexico*",11,"NC","WAC"
1998,2,"11/18/1997",12,"Connecticut* RT",12,"NC","Big East"
1998,2,"11/18/1997",13,"Fresno State",13,"NC","WAC"
1998,2,"11/18/1997",14,"Iowa",15,1,"Big Ten"
1998,2,"11/18/1997",15,"Stanford* F",14,1,"Pac-10"
1998,2,"11/18/1997",16,"Utah* RF",16,"NC","WAC"
1998,2,"11/18/1997",17,"Charlotte*",18,1,"CUSA"
1998,2,"11/18/1997",18,"Temple* R",24,6,"A-10"
1998,2,"11/18/1997",19,"Oklahoma*",20,1,"Big 12"
1998,2,"11/18/1997",20,"Rhode Island*",21,1,"A-10"
1998,2,"11/18/1997",21,"Mississippi* R",23,2,"SEC"
1998,2,"11/18/1997",22,"Louisville",25,3,"CUSA"
1998,2,"11/18/1997",23,"Indiana*",17,6,"Big Ten"
1998,2,"11/18/1997",24,"Illinois State* RT",,,"MVC"
1998,2,"11/18/1997",25,"Georgia",19,6,"SEC"
1998,3,"11/25/1997",1,"Arizona* R",1,"NC","Pac-10"
1998,3,"11/25/1997",2,"Kansas* RT",2,"NC","Big 12"
1998,3,"11/25/1997",3,"Duke* R",3,"NC","ACC"
1998,3,"11/25/1997",4,"North Carolina* TF",4,"NC","ACC"
1998,3,"11/25/1997",5,"South Carolina*",6,1,"SEC"
1998,3,"11/25/1997",6,"Purdue*",8,2,"Big Ten"
1998,3,"11/25/1997",7,"UCLA*",7,"NC","Pac-10"
1998,3,"11/25/1997",8,"Kentucky* RTFN",9,1,"SEC"
1998,3,"11/25/1997",9,"Xavier* RT",10,1,"A-10"
1998,3,"11/25/1997",10,"New Mexico*",11,1,"WAC"
1998,3,"11/25/1997",11,"Connecticut* RT",12,1,"Big East"
1998,3,"11/25/1997",12,"Fresno State",13,1,"WAC"
1998,3,"11/25/1997",13,"Clemson*",5,8,"ACC"
1998,3,"11/25/1997",14,"Iowa",14,"NC","Big Ten"
1998,3,"11/25/1997",15,"Stanford* F",15,"NC","Pac-10"
1998,3,"11/25/1997",16,"Utah* RF",16,"NC","WAC"
1998,3,"11/25/1997",17,"Mississippi* R",21,4,"SEC"
1998,3,"11/25/1997",18,"Oklahoma*",19,1,"Big 12"
1998,3,"11/25/1997",19,"Louisville",22,3,"CUSA"
1998,3,"11/25/1997",20,"Temple* R",18,2,"A-10"
1998,3,"11/25/1997",21,"Indiana*",23,2,"Big Ten"
1998,3,"11/25/1997",22,"Georgia",25,3,"SEC"
1998,3,"11/25/1997",23,"Rhode Island*",20,3,"A-10"
1998,3,"11/25/1997",24,"Maryland*",,,"ACC"
1998,3,"11/25/1997",25,"Charlotte*",17,8,"CUSA"
1998,4,"12/2/1997",1,"Duke* R",3,2,"ACC"
1998,4,"12/2/1997",2,"Kansas* RT",2,"NC","Big 12"
1998,4,"12/2/1997",3,"North Carolina* TF",4,1,"ACC"
1998,4,"12/2/1997",4,"Arizona* R",1,3,"Pac-10"
1998,4,"12/2/1997",5,"South Carolina*",5,"NC","SEC"
1998,4,"12/2/1997",6,"Purdue*",6,"NC","Big Ten"
1998,4,"12/2/1997",7,"Kentucky* RTFN",8,1,"SEC"
1998,4,"12/2/1997",8,"New Mexico*",10,2,"WAC"
1998,4,"12/2/1997",9,"Xavier* RT",9,"NC","A-10"
1998,4,"12/2/1997",10,"Iowa",14,4,"Big Ten"
1998,4,"12/2/1997",11,"Utah* RF",16,5,"WAC"
1998,4,"12/2/1997",12,"Stanford* F",15,3,"Pac-10"
1998,4,"12/2/1997",13,"Connecticut* RT",11,2,"Big East"
1998,4,"12/2/1997",14,"Mississippi* R",17,3,"SEC"
1998,4,"12/2/1997",15,"UCLA*",7,8,"Pac-10"
1998,4,"12/2/1997",16,"Fresno State",12,4,"WAC"
1998,4,"12/2/1997",17,"Clemson*",13,4,"ACC"
1998,4,"12/2/1997",18,"Arkansas*",,,"SEC"
1998,4,"12/2/1997",19,"Florida State*",,,"ACC"
1998,4,"12/2/1997",20,"Temple* R",20,"NC","A-10"
1998,4,"12/2/1997",21,"Georgia",22,1,"SEC"
1998,4,"12/2/1997",22,"Georgia Tech",,,"ACC"
1998,4,"12/2/1997",23,"Maryland*",24,1,"ACC"
1998,4,"12/2/1997",24,"Wake Forest",,,"ACC"
1998,4,"12/2/1997",25,"Princeton* R",,,"Ivy"
1998,5,"12/9/1997",1,"Duke* R",1,"NC","ACC"
1998,5,"12/9/1997",2,"North Carolina* TF",3,1,"ACC"
1998,5,"12/9/1997",3,"Kansas* RT",2,1,"Big 12"
1998,5,"12/9/1997",4,"Kentucky* RTFN",7,3,"SEC"
1998,5,"12/9/1997",5,"South Carolina*",5,"NC","SEC"
1998,5,"12/9/1997",6,"Arizona* R",4,2,"Pac-10"
1998,5,"12/9/1997",7,"Xavier* RT",9,2,"A-10"
1998,5,"12/9/1997",8,"Purdue*",6,2,"Big Ten"
1998,5,"12/9/1997",9,"Utah* RF",11,2,"WAC"
1998,5,"12/9/1997",10,"Iowa",10,"NC","Big Ten"
1998,5,"12/9/1997",11,"Stanford* F",12,1,"Pac-10"
1998,5,"12/9/1997",12,"UCLA*",15,3,"Pac-10"
1998,5,"12/9/1997",13,"Connecticut* RT",13,"NC","Big East"
1998,5,"12/9/1997",14,"New Mexico*",8,6,"WAC"
1998,5,"12/9/1997",15,"Arkansas*",18,3,"SEC"
1998,5,"12/9/1997",16,"Florida State*",19,3,"ACC"
1998,5,"12/9/1997",17,"Clemson*",17,"NC","ACC"
1998,5,"12/9/1997",18,"Fresno State",16,2,"WAC"
1998,5,"12/9/1997",19,"Maryland*",23,4,"ACC"
1998,5,"12/9/1997",20,"Temple* R",20,"NC","A-10"
1998,5,"12/9/1997",21,"Mississippi* R",14,7,"SEC"
1998,5,"12/9/1997",22,"Princeton* R",25,3,"Ivy"
1998,5,"12/9/1997",23,"Georgia",21,2,"SEC"
1998,5,"12/9/1997",24,"Georgia Tech",22,2,"ACC"
1998,5,"12/9/1997",25,"Wake Forest",24,1,"ACC"
1998,6,"12/16/1997",1,"North Carolina* TF",2,1,"ACC"
