"Year","Wk","Date","Rk","School","Prev","Chng","Conf"
1998,16,"Final",1,"Tennessee",1,"NC","SEC (East)"
1998,16,"Final",2,"Ohio State",3,1,"Big Ten"
1998,16,"Final",3,"Florida State",2,1,"ACC"
1998,16,"Final",4,"Arizona",5,1,"Pac-10"
1998,16,"Final",5,"Florida",7,2,"SEC (East)"
1998,16,"Final",6,"Wisconsin",9,3,"Big Ten"
1998,16,"Final",7,"Tulane",10,3,"CUSA"
1998,16,"Final",8,"UCLA",6,2,"Pac-10"
1998,16,"Final",9,"Georgia Tech",12,3,"ACC"
1998,16,"Final",10,"Kansas State",4,6,"Big 12 (North)"
1998,16,"Final",11,"Texas A&M",8,3,"Big 12 (South)"
1998,16,"Final",12,"Michigan",15,3,"Big Ten"
1998,16,"Final",13,"Air Force",16,3,"WAC (Mountain)"
1998,16,"Final",14,"Georgia",19,5,"SEC (East)"
1998,16,"Final",15,"Texas",20,5,"Big 12 (South)"
1998,16,"Final",16,"Arkansas",11,5,"SEC (West)"
1998,16,"Final",17,"Penn State",22,5,"Big Ten"
1998,16,"Final",18,"Virginia",13,5,"ACC"
1998,16,"Final",19,"Nebraska",14,5,"Big 12 (North)"
1998,16,"Final",20,"Miami (FL)",24,4,"Big East"
1998,16,"Final",21,"Missouri",23,2,"Big 12 (North)"
1998,16,"Final",22,"Notre Dame",17,5,"Ind"
1998,16,"Final",23,"Virginia Tech",,,"Big East"
1998,16,"Final",24,"Purdue",,,"Big Ten"
1998,16,"Final",25,"Syracuse",18,7,"Big East "
1998,15,"12/07/98",1,"Tennessee",1,"NC","SEC (East)"
1998,15,"12/07/98",2,"Florida State",4,2,"ACC"
1998,15,"12/07/98",3,"Ohio State",5,2,"Big Ten"
1998,15,"12/07/98",4,"Kansas State",2,2,"Big 12 (North)"
1998,15,"12/07/98",5,"Arizona",6,1,"Pac-10"
1998,15,"12/07/98",6,"UCLA",3,3,"Pac-10"
1998,15,"12/07/98",7,"Florida",7,"NC","SEC (East)"
1998,15,"12/07/98",8,"Texas A&M",10,2,"Big 12 (South)"
1998,15,"12/07/98",9,"Wisconsin",8,1,"Big Ten"
1998,15,"12/07/98",10,"Tulane",9,1,"CUSA"
1998,15,"12/07/98",11,"Arkansas",11,"NC","SEC (West)"
1998,15,"12/07/98",12,"Georgia Tech",12,"NC","ACC"
1998,15,"12/07/98",13,"Virginia",14,1,"ACC"
1998,15,"12/07/98",14,"Nebraska",13,1,"Big 12 (North)"
1998,15,"12/07/98",15,"Michigan",15,"NC","Big Ten"
1998,15,"12/07/98",16,"Air Force",17,1,"WAC (Mountain)"
1998,15,"12/07/98",17,"Notre Dame",16,1,"Ind"
1998,15,"12/07/98",18,"Syracuse",18,"NC","Big East"
1998,15,"12/07/98",19,"Georgia",19,"NC","SEC (East)"
1998,15,"12/07/98",20,"Texas",20,"NC","Big 12 (South)"
1998,15,"12/07/98",21,"Oregon",21,"NC","Pac-10"
1998,15,"12/07/98",22,"Penn State",22,"NC","Big Ten"
1998,15,"12/07/98",23,"Missouri",24,1,"Big 12 (North)"
1998,15,"12/07/98",24,"Miami (FL)",,,"Big East"
1998,15,"12/07/98",25,"Mississippi State",23,2,"SEC (West)"
1998,14,"11/30/98",1,"Tennessee",1,"NC","SEC (East)"
1998,14,"11/30/98",2,"Kansas State",2,"NC","Big 12 (North)"
1998,14,"11/30/98",3,"UCLA",3,"NC","Pac-10"
1998,14,"11/30/98",4,"Florida State",4,"NC","ACC"
1998,14,"11/30/98",5,"Ohio State",5,"NC","Big Ten"
1998,14,"11/30/98",6,"Arizona",7,1,"Pac-10"
1998,14,"11/30/98",7,"Florida",8,1,"SEC (East)"
1998,14,"11/30/98",8,"Wisconsin",10,2,"Big Ten"
1998,14,"11/30/98",9,"Tulane",11,2,"CUSA"
1998,14,"11/30/98",10,"Texas A&M",6,4,"Big 12 (South)"
1998,14,"11/30/98",11,"Arkansas",13,2,"SEC (West)"
1998,14,"11/30/98",12,"Georgia Tech",17,5,"ACC"
1998,14,"11/30/98",13,"Nebraska",14,1,"Big 12 (North)"
1998,14,"11/30/98",14,"Virginia",16,2,"ACC"
1998,14,"11/30/98",15,"Michigan",15,"NC","Big Ten"
1998,14,"11/30/98",16,"Notre Dame",9,7,"Ind"
1998,14,"11/30/98",17,"Air Force",18,1,"WAC (Mountain)"
1998,14,"11/30/98",18,"Syracuse",21,3,"Big East"
1998,14,"11/30/98",19,"Georgia",12,7,"SEC (East)"
1998,14,"11/30/98",20,"Texas",,,"Big 12 (South)"
1998,14,"11/30/98",21,"Oregon",22,1,"Pac-10"
1998,14,"11/30/98",22,"Penn State",23,1,"Big Ten"
1998,14,"11/30/98",23,"Mississippi State",25,2,"SEC (West)"
1998,14,"11/30/98",24,"Missouri",24,"NC","Big 12 (North)"
1998,14,"11/30/98",25,"Virginia Tech",20,5,"Big East"
1998,13,"11/23/98",1,"Tennessee",1,"NC","SEC (East)"
1998,13,"11/23/98",2,"Kansas State",2,"NC","Big 12 (North)"
1998,13,"11/23/98",3,"UCLA",3,"NC","Pac-10"
1998,13,"11/23/98",4,"Florida State",5,1,"ACC"
1998,13,"11/23/98",5,"Ohio State",7,2,"Big Ten"
1998,13,"11/23/98",6,"Texas A&M",6,"NC","Big 12 (South)"
1998,13,"11/23/98",7,"Arizona",8,1,"Pac-10"
1998,13,"11/23/98",8,"Florida",4,4,"SEC (East)"
1998,13,"11/23/98",9,"Notre Dame",10,1,"Ind"
1998,13,"11/23/98",10,"Wisconsin",13,3,"Big Ten"
1998,13,"11/23/98",11,"Tulane",12,1,"CUSA"
1998,13,"11/23/98",12,"Georgia",14,2,"SEC (East)"
1998,13,"11/23/98",13,"Arkansas",9,4,"SEC (West)"
1998,13,"11/23/98",14,"Nebraska",17,3,"Big 12 (North)"
1998,13,"11/23/98",15,"Michigan",11,4,"Big Ten"
1998,13,"11/23/98",16,"Virginia",18,2,"ACC"
1998,13,"11/23/98",17,"Georgia Tech",21,4,"ACC"
1998,13,"11/23/98",18,"Air Force",20,2,"WAC (Mountain)"
1998,13,"11/23/98",19,"Miami (FL)",22,3,"Big East"
1998,13,"11/23/98",20,"Virginia Tech",23,3,"Big East"
1998,13,"11/23/98",21,"Syracuse",24,3,"Big East"
1998,13,"11/23/98",22,"Oregon",15,7,"Pac-10"
1998,13,"11/23/98",23,"Penn State",16,7,"Big Ten"
1998,13,"11/23/98",24,"Missouri",19,5,"Big 12 (North)"
1998,13,"11/23/98",25,"Mississippi State",,,"SEC (West)"
1998,12,"11/16/98",1,"Tennessee",1,"NC","SEC (East)"
1998,12,"11/16/98",2,"Kansas State",2,"NC","Big 12 (North)"
1998,12,"11/16/98",3,"UCLA",3,"NC","Pac-10"
1998,12,"11/16/98",4,"Florida",4,"NC","SEC (East)"
1998,12,"11/16/98",5,"Florida State",5,"NC","ACC"
1998,12,"11/16/98",6,"Texas A&M",6,"NC","Big 12 (South)"
1998,12,"11/16/98",7,"Ohio State",7,"NC","Big Ten"
1998,12,"11/16/98",8,"Arizona",9,1,"Pac-10"
1998,12,"11/16/98",9,"Arkansas",10,1,"SEC (West)"
1998,12,"11/16/98",10,"Notre Dame",12,2,"Ind"
1998,12,"11/16/98",11,"Michigan",15,4,"Big Ten"
1998,12,"11/16/98",12,"Tulane",14,2,"CUSA"
1998,12,"11/16/98",13,"Wisconsin",8,5,"Big Ten"
1998,12,"11/16/98",14,"Georgia",17,3,"SEC (East)"
1998,12,"11/16/98",15,"Oregon",20,5,"Pac-10"
1998,12,"11/16/98",16,"Penn State",19,3,"Big Ten"
1998,12,"11/16/98",17,"Nebraska",11,6,"Big 12 (North)"
1998,12,"11/16/98",18,"Virginia",21,3,"ACC"
1998,12,"11/16/98",19,"Missouri",13,6,"Big 12 (North)"
1998,12,"11/16/98",20,"Air Force",23,3,"WAC (Mountain)"
1998,12,"11/16/98",21,"Georgia Tech",22,1,"ACC"
1998,12,"11/16/98",22,"Miami (FL)",24,2,"Big East"
1998,12,"11/16/98",23,"Virginia Tech",16,7,"Big East"
1998,12,"11/16/98",24,"Syracuse",,,"Big East"
1998,12,"11/16/98",25,"Texas",18,7,"Big 12 (South)"
1998,11,"11/09/98",1,"Tennessee",2,1,"SEC (East)"
1998,11,"11/09/98",2,"Kansas State",4,2,"Big 12 (North)"
1998,11,"11/09/98",3,"UCLA",3,"NC","Pac-10"
1998,11,"11/09/98",4,"Florida",5,1,"SEC (East)"
1998,11,"11/09/98",5,"Florida State",6,1,"ACC"
1998,11,"11/09/98",6,"Texas A&M",7,1,"Big 12 (South)"
1998,11,"11/09/98",7,"Ohio State",1,6,"Big Ten"
1998,11,"11/09/98",8,"Wisconsin",8,"NC","Big Ten"
1998,11,"11/09/98",9,"Arizona",10,1,"Pac-10"
1998,11,"11/09/98",10,"Arkansas",11,1,"SEC (West)"
1998,11,"11/09/98",11,"Nebraska",14,3,"Big 12 (North)"
1998,11,"11/09/98",12,"Notre Dame",13,1,"Ind"
1998,11,"11/09/98",13,"Missouri",18,5,"Big 12 (North)"
1998,11,"11/09/98",14,"Tulane",15,1,"CUSA"
1998,11,"11/09/98",15,"Michigan",22,7,"Big Ten"
1998,11,"11/09/98",16,"Virginia Tech",15,1,"Big East"
1998,11,"11/09/98",17,"Georgia",19,2,"SEC (East)"
1998,11,"11/09/98",18,"Texas",20,2,"Big 12 (South)"
1998,11,"11/09/98",19,"Penn State",9,10,"Big Ten"
1998,11,"11/09/98",20,"Oregon",21,1,"Pac-10"
1998,11,"11/09/98",21,"Virginia",12,9,"ACC"
1998,11,"11/09/98",22,"Georgia Tech",23,1,"ACC"
1998,11,"11/09/98",23,"Air Force",25,2,"WAC (Mountain)"
1998,11,"11/09/98",24,"Miami (FL)",24,"NC","Big East"
1998,11,"11/09/98",25,"Wyoming",,,"WAC (Mountain)"
1998,10,"11/02/98",1,"Ohio State",1,"NC","Big Ten"
1998,10,"11/02/98",2,"Tennessee",3,1,"SEC (East)"
1998,10,"11/02/98",3,"UCLA",2,1,"Pac-10"
1998,10,"11/02/98",4,"Kansas State",4,"NC","Big 12 (North)"
1998,10,"11/02/98",5,"Florida",6,1,"SEC (East)"
1998,10,"11/02/98",6,"Florida State",5,1,"ACC"
1998,10,"11/02/98",7,"Texas A&M",8,1,"Big 12 (South)"
1998,10,"11/02/98",8,"Wisconsin",9,1,"Big Ten"
1998,10,"11/02/98",9,"Penn State",10,1,"Big Ten"
